Marca temporal,¿Cuántas horas duerme en promedio por noche durante el semestre?,¿Cómo considera la calidad de su sueño?,Con qué frecuencia se despierta durante la noche?,¿Se siente descansado al despertar?,¿Cuántos créditos matriculó este semestre?,¿Cuántas horas estudia fuera de clase por día?,¿Cuántas materias matriculó?,¿En qué grupo de Ecuaciones Diferenciales está?,¿Actualmente trabaja?,Cuántas horas trabaja por semana?,Tipo de jornada de trabajo,Cuánto tiempo tarda normalmente desde su lugar de residencia hasta la universidad?,¿Cuál es el principal medio de transporte que utiliza para llegar a la universidad ?,Sexo ,Edad,Programa académico,Semestre que cursa,¿Consume café o bebidas energéticas?
10/07/2026 19:40:16,5,Mala,Algunas veces,2,18,6,5,"Martes y jueves, 4:00 p.m. – 6:00 p.m. — Prof. Holmes Alberto Chavarría Arboleda (Grupo 8)",No,0,,20–40,Moto,Masculino,22,Ingeniería Mecánica,3,Ocasionalmente
11/07/2026 7:08:59,6 horas y media en promedio,Regular,Algunas veces,4,4,1 hora,1,"Martes y jueves, 2:00 p.m. – 4:00 p.m. — Prof. Carlos Augusto Vélez López (Grupo 1)",Si,45,Tiempo completo,20–40,Bus,Masculino,25,Ingenieria de sistemas e informatica,9,Ocasionalmente
11/07/2026 15:42:35,5,Regular,Algunas veces,3,18,5,5,"Martes y jueves, 8:00 a.m. – 10:00 a.m. — Prof. Janette López Rodríguez (Grupo 7)",No,0,,20–40,Bus,Masculino,20,Ingenieria Mecanica,5to ,Ocasionalmente
11/07/2026 17:00:03,6h-7h,Regular,Algunas veces,3,13,1h-2h,4,"Martes y jueves, 6:00 a.m. – 8:00 a.m. — Prof. Janette López Rodríguez (Grupo 11)",No,0,,20–40,Metro,Masculino,21,Ing.mecanica,4to,Ocasionalmente
11/07/2026 19:22:30,4.5 horas,Regular,Frecuentemente,3,11,3,3,"Martes y jueves, 8:00 a.m. – 10:00 a.m. — Prof. Janette López Rodríguez (Grupo 7)",No,0,,60–90,Bus,Femenino,24,Ingeniería química ,7,Frecuentemente
12/07/2026 18:53:52,4/ 5 horas al día en promedio ,Regular,Algunas veces,3,17,6,5,"Martes y jueves, 4:00 p.m. – 6:00 p.m. — Prof. Holmes Alberto Chavarría Arboleda (Grupo 8)",No,0,,Más de 90,Otro,Femenino,22,Ingeniería Agrícola ,9 matrícula ,Nunca
14/07/2026 19:01:14,4 a 5 horas ,Mala,Algunas veces,3,19,10,6,"Martes y jueves, 6:00 a.m. – 8:00 a.m. — Prof. Alejandro Arenas Tirado (Grupo 10)",Si,42,Tiempo completo,20–40,Caminando,Femenino,24,Ingeniería Geológica ,13,Ocasionalmente
14/07/2026 19:30:15,6,Buena,Rara vez,2,11,5,3,"Miércoles y viernes, 12:00 m. – 2:00 p.m. — Prof. Rodney Jaramillo Justinico (Grupo 4)",No,NA,,20–40,Caminando,Femenino,23,Ingeniería Biológica ,10,Ocasionalmente
14/07/2026 22:04:06,6,Regular,Algunas veces,3,12,2,3,"Martes y jueves, 2:00 p.m. – 4:00 p.m. — Prof. Carlos Augusto Vélez López (Grupo 1)",Si,10,Mañana,20–40,Carro,Femenino,30,Ingeniería Ambiental,8,Ocasionalmente
16/07/2026 10:35:25,5,Regular,Rara vez,3,10,5,3,"Martes y jueves, 4:00 p.m. – 6:00 p.m. — Prof. Jhonatan Carmona Otálvaro (Grupo 5)",Si,25,Tarde,Menos de 20 minutos,Caminando,Masculino,25,Ing civil,5,Frecuentemente
18/07/2026 14:06:31,6,Regular,Rara vez,2,10,2,3,"Miércoles y viernes, 12:00 m. – 2:00 p.m. — Prof. Rodney Jaramillo Justinico (Grupo 4)",Si,20,Rotativa,40–60,Moto,Masculino,21,Ing-Control,6,Frecuentemente
19/07/2026 12:07:28,6,Mala,Algunas veces,3,12,6,3,"Miércoles y viernes, 6:00 a.m. – 8:00 a.m. — Prof. Alejandro Cardona Zapata (Grupo 9)",No,0,,40–60,Metro,Masculino,22,Ingeniería Mecánica ,5,Nunca
21/07/2026 8:45:52,7,Regular,Rara vez,3,16,5,4,"Miércoles y viernes, 6:00 a.m. – 8:00 a.m. — Prof. Oscar Iván Agudelo Rico (Grupo 12)",No,0,,Menos de 20 minutos,Metro,Masculino,19,Estadística ,5,Ocasionalmente
